post,topic,audience
Reminder to #WE23 attendees: Stop by our Wellness Lounge and register for our Inspirational Insights session to discuss #career opportunities with our team. https://t.co/otRWatifqC https://t.co/jLDKII3oPO,company announcement // conferenes & outreach,all
Onsite at #ESMO2023? Visit our booth to meet with our #oncology experts and learn more about our efforts to transform #cancer care for patients with solid tumors. https://t.co/AH1pwX3BaU,company announcement // conferenes & outreach,all
"@DrJGiddensRN ""Hi Dr. Jessica, while we appreciate your comment, we had to remove it since it mentions a specific product name. Per our community guidelines, https://t.co/woNgpT57wm, product mentions are not allowed on our community/page""",company announcement // other,all
"At #ESMO2023, our #oncology team will be onsite showcasing our expanding research and commitment to transforming #cancer care. If you’re onsite, visit our booth to find out more. https://t.co/HdN5HmCk8z",company announcement // conferenes & outreach,all
"This week at #ACG2023, we’re presenting 13 abstracts highlighting data across our gastroenterology portfolio in #CrohnsDisease, #UlcerativeColitis and Inflammatory Bowel Disease (#IBD). Read more about our immunology efforts: https://t.co/4DfZNpinB5 https://t.co/tVaFB3ZcvV",company announcement // conferenes & outreach,all
"[Video description: On-screen text reads, “Career Tips, Interview Best Practices. Jasmyn Franklin, Professional Recruitment Manager, Therapeutic Lines, Commercial, AbbVie.” Jasmyn shares three tips on preparing for an interview.]",company announcement // new hire / employee update,all
Interested in applying for a position within our organization? Hear three tips for preparing for an interview with us from one of our professional recruitment managers. Explore our open roles: https://t.co/01PNynysat #careers #CareerOpportunities https://t.co/X5pq3bgV1a,company announcement // new hire / employee update,all
"[Video description: On-screen text reads, “SWE Conference 2023, October 26th-28th, 2023, Los Angeles, CA. Sherri Carter, Site Head, Operations, AbbVie.”]",company announcement // conferenes & outreach,all
"Register in advance for our onsite events at #WE23 to meet and #network with employees like Sherri Carter, site head, operations. More: https://t.co/BsZjCJa74z @SWEtalk https://t.co/EersewVTCr",company announcement // conferenes & outreach,all
"[Video description: On-screen text reads, “Out of the 58 million people worldwide living with chronic hepatitis C virus in 2019… Only 20% of them were diagnosed… and 13% were treated for the infection.”]",company announcement // general disease info / awareness,all
"Hepatitis C virus (#HCV) affects millions globally. Through prevention, testing and treatment, we can continue working toward the @WHO's goal of HCV elimination by 2030. https://t.co/eY9HphgnV6",company announcement // general disease info / awareness,all
"[Video description: On-screen text reads, ""EADV 2023 in review. 36 accepted abstracts across six therapeutic areas. 4 oral data presentations. 3 symposia. See you next year.”]",company announcement // research & publications,all
This year’s #EADVCongress is in the books. We’re already looking forward to next year’s congress and reconnecting with those at the forefront of #dermatology. Explore our focus areas: https://t.co/nlZj3fsGhW https://t.co/UHAzjQepXb,company announcement // conferenes & outreach,all
"[Video description: On-screen text reads, “Did you know… Approximately 90% of primary liver cancers are hepatocellular carcinomas (HCCs) and virtually all HCCs arise in patients with chronic liver diseases such as HCV (hepatitis C virus).”]",company announcement // general disease info / awareness,all
October is #LiverCancerAwarenessMonth. Hepatitis C virus (#HCV) is a common cause of #LiverCancer. Learn more about the global burden of HCV via this factsheet from the @WHO: https://t.co/PQYSzwVvIb https://t.co/X7OPEO3Ika,company announcement // general disease info / awareness,all
"@abbvie [Image description: On-screen text reads, “Phase 3 study. Crohn’s disease. A head-to-head study presented at UEG. Click to read more.”]",company announcement // research & publications,all
Data results from our Phase 3 head-to-head study in adult patients with #CrohnsDisease are in. Read more: https://t.co/u8D8ZPTcRY,company announcement // research & publications,all
"To help establish lasting, meaningful care plans for people with #CrohnsDisease, researcher Laurent Peyrin-Biroulet advocates for setting treatment goals beyond symptom management. #UEGWeek https://t.co/YtuPkVmg0o",company announcement // motivation & support,patients/caregivers
@abbvie [“…Endoscopic remission is assessed with a sigmoidoscopy or colonoscopy.”],company announcement // general disease info / awareness,all
"[Image description: On-screen text reads, “Clinical remission is a patient-reported outcome evaluating stool frequency and rectal bleeding…”]",company announcement // general disease info / awareness,all
Goals in #IBD management are evolving to include both clinical and endoscopic remission. #Gastroenterologists should consider discussing these goals with their patients to ensure they understand their importance. #UEGWeek,company announcement // general disease info / awareness,HCP / Clinical / R&D
#Gastroenterologists should have open dialogues with their #IBD patients to determine if care plans should be adjusted. What do you believe is the most important aspect to consider? #UEGWeek,company announcement // general disease info / awareness,HCP / Clinical / R&D
"@AzrilltheOG Hi Az, we saw your tweet and would like to connect. Can you DM us with more information?",company announcement // other,all
"@Tantunnaa Hi Tantunnaa, we saw your tweet and would like to connect. Can you DM us with more information?",company announcement // other,all
@abbvie [“…that suits them for their lifestyle.”],company announcement // motivation & support,all
"[Video description: Tim Shaw, Global Therapeutic Area Head Rheumatology, Global Medical Affairs at AbbVie, says, “At AbbVie, we’re empowering patients to talk to their physicians about what really matters to them and giving them a voice so they can get the personalized care…”]",company announcement // motivation & support,all
There’s been encouraging progress in the management of rheumatic diseases over the past decade and we remain focused on enabling optimal outcomes for people with #RheumatoidArthritis. Explore our work this #WorldArthritisDay: https://t.co/goVn7igLVW https://t.co/0H4955UD2i,company announcement // general disease info / awareness,all
